"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"1";" A3906SESTR-T ";"A3906";"QFN20";"U2";"Low Voltage Stepper and Single/Dual DC Motor Driver";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"1";"0.033R";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"0.1uF";"C-EUC0402K";"C0402K";"C1, C2, C3, C4, C6, C8, C9, C11, C12, C14, C15, C21, C27";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100K";"R-US_R0402";"R0402";"R46, R58";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"R-US_R0402";"R0402";"R26";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10K";"R-US_R0402";"R0402";"R42, R43";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"10k";"R-US_R0402";"R0402";"R6, R18, R27, R29, R30, R32, R33, R35, R44, R51, R54, R56, R57";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10pF";"C-EUC0402K";"C0402K";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-EUC0402K";"C0402K";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10uF";"C-EUC0805K";"C0805K";"C7, C10, C16, C31";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"120R";"R-US_R0402";"R0402";"R7, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"18k";"R-US_R0402";"R0402";"R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"190k";"R-US_R0402";"R0402";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1M";"R-US_R0402";"R0402";"R49";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1k";"R-US_R0402";"R0402";"R3, R28, R37";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1uF";"C-EUC0402K";"C0402K";"C13, C17, C25, C26, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2.2uF";"C-EUC0402K";"C0402K";"C34, C35";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22uF";"C-EUC0805K";"C0805K";"C30";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"27k";"R-US_R0402";"R0402";"R40, R41";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k2";"R-US_R0402";"R0402";"R50";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"39k";"R-US_R0402";"R0402";"R55";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"470R";"R-US_R0402";"R0402";"R36";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"470pF";"C-EUC0402K";"C0402K";"C23, C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"4k7";"R-US_R0402";"R0402";"R2, R8, R9, R11, R14, R34";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"501568-0207";"501568-0207";"5015680207";"J5, J6, J10";"Molex PICO-CLASP Series, Series Number 501568, 1mm Pitch 2 Way 2 Row Right Angle PCB Header, Solder Termination, 1A";"";"";"";"Molex PICO-CLASP Series, Series Number 501568, 1mm Pitch 2 Way 2 Row Right Angle PCB Header, Solder Termination, 1A";"3.4mm";"Molex";"501568-0207";"";"538-501568-0207";"https://www.mouser.co.uk/ProductDetail/Molex/501568-0207?qs=uEWtSLL707WbFjnit2JOEg%3D%3D";"";"";"";"";"";"";"";"";"";
"1";"501568-0407";"501568-0407";"501568-0407";"J8";"MOLEX - 501568-0407 - HEADER, 1.00MM, 4WAY";"70372951";"https://www.alliedelec.com/molex-incorporated-501568-0407/70372951/";"";"MOLEX - 501568-0407 - HEADER, 1.00MM, 4WAY";"mm";"Molex";"501568-0407";"";"538-501568-0407";"https://www.mouser.co.uk/ProductDetail/Molex/501568-0407?qs=uEWtSLL707XxbhccfDRWNQ%3D%3D";"";"";"";"";"";"";"";"0406710P";"http://uk.rs-online.com/web/p/products/0406710P";
"6";"501568-0607";"501568-0607";"501568-0607";"J1, J2, J3, J4, J7, J9";"MOLEX - 501568-0607 - HEADER, 1.00MM, 6WAY";"70372952";"https://www.alliedelec.com/molex-incorporated-501568-0607/70372952/";"";"MOLEX - 501568-0607 - HEADER, 1.00MM, 6WAY";"mm";"Molex";"501568-0607";"";"538-501568-0607";"https://www.mouser.co.uk/ProductDetail/Molex/501568-0607?qs=uEWtSLL707W5cp1jFOkIrg%3D%3D";"";"";"";"";"";"";"";"0406714P";"http://uk.rs-online.com/web/p/products/0406714P";
"1";"6.8uH";"L-USL2825P";"L2825P";"L3";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"68uH";"L-USL2825P";"L2825P";"L1";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADUM1250";"ADUM1250";"SO8-COOL";"U3";"Hot Swappable, Dual I2C Isolators";"";"";"Unavailable";" I²C Digital Isolator 2500Vrms 2 Channel 1Mbps 25kV/µs CMTI 8-SOIC _0.154, 3.90mm Width_ ";"";"";"";"Analog Devices";"";"";"ADUM1250";"";"";"";"SOIC-8 Analog Devices";"";"None";"";"";
"1";"ASDAIG-32.000MHZ-X-K-S-T";"ASE";"ASE";"OSC1";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"BAT54HT1G";"BAT54";"SOT23";"D2";"Schottky Diodes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BL651 - 453-00005";"453-00005";"45300005";"U9";"Bluetooth Modules (802.15.1) BL651 Series - Bluetooth v5 Module, Int. Antenna (Nordic nRF52810) Tape & Reel";"";"";"";"Bluetooth Modules (802.15.1) BL651 Series - Bluetooth v5 Module, Int. Antenna (Nordic nRF52810) Tape & Reel";"2.2mm";"Laird Technologies";"453-00005";"";"239-453-00005";"https://www.mouser.com/Search/Refine.aspx?Keyword=239-453-00005";"";"";"";"";"";"";"";"";"";
"2";"BZT52C3V3LP-7";"DIODE-MINIMELF";"MINIMELF";"D1, D3";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
