"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PART_STATUS";"POPULARITY";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";
"1";" A3906SESTR-T ";"A3906";"QFN20";"U2";"Low Voltage Stepper and Single/Dual DC Motor Driver";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"X";"";"";"";
"1";"0.033R";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"1";"0.1F";"C-EUC0402K";"C0402K";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"C";"";"";"";
"8";"0.1uF";"C-EUC0402K";"C0402K";"C1, C2, C3, C4, C5, C9, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"C";"";"";"";
"5";"10k";"R-US_R0402";"R0402";"R1, R2, R4, R7, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"R";"";"";"";
"2";"10uF";"C-EUC0805K";"C0805K";"C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"C";"";"";"";
"1";"18k";"R-US_R0402";"R0402";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"R";"";"";"";
"1";"190k";"R-US_R0402";"R0402";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"R";"";"";"";
"1";"1uF";"C-EUC0402K";"C0402K";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"C";"";"";"";
"1";"4k7";"R-US_R0402";"R0402";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"R";"";"";"";
"1";"DSPIC33FJ32MC202-E/MM";"DSPIC33FJ32MC202-E/MM";"QFN65P600X600X100-29N";"U1";"16-bit Digital Signal Controllers";"";" dsPIC Automotive, AEC-Q100, dsPIC™ 33F Microcontroller IC 16-Bit 40 MIPs 32KB _32K x 8_ FLASH 28-QFN-S _6x6_ ";"DSPIC33FJ32MC202-E/MM-ND";"https://www.digikey.com/product-detail/en/microchip-technology/DSPIC33FJ32MC202-E-MM/DSPIC33FJ32MC202-E-MM-ND/1635835?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"Microchip";"";"";"DSPIC33FJ32MC202-E/MM";"";"";"QFN-28 Microchip";"";"";"";"";"";"";"";"";
"1";"MCP601T-I_OT";"MCP601T-I_OT";"SOT95P270X145-5N";"U3";"2.7 to 5.5V CMOS Operational Amplifier";"";"2.7 to 5.5V CMOS Operational Amplifier";"";"";"1.45mm";"";"Microchip";"MCP601T-I/OT";"";"579-MCP601T-I/OT";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP601T-I-OT?qs=TQnwojwsYvgI5ywjvKCAVw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"15";"PINHD-1X1";"PINHD-1X1";"1X01";"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11, JP12, JP13, JP14, JP15";"PIN HEADER";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PIN-HEADER";"";"";
